    Date, Time,Site_22,Site_23,Site_24,Site_25,Site_26,Site_28,Site_72,Site_72, Site_A, Site_H, Site_K, Site_R,Site_V
20150105,6:00,0.06,0,0,0,0.03,0,                    LST,                    LST,0.02,0.05,0.03,0.19,0.09
20150105,7:00,0.1,0.02,0,0,0.03,0,                    LST,                    LST,0.03,0.06,0.03,0.24,0.13
20150105,8:00,0.05,0.03,0,0,0.04,0,                    LST,                    LST,0,0.04,0.02,0.86,0.19
20150105,9:00,0.02,0.03,0,0,0,0.03,                    LST,                    LST,0.01,0.03,0.02,0.37,0.1
20150105,10:00,0.17,0.02,0,0,                    AQI,0,                    LST,                    LST,0.01,                     IQ,                     IQ,0.4,0.11
20150105,11:00,0.13,0,0,0.01,                    LST,0.03,                    LST,                    LST,0,0.07,0.06,0.25,0.19
20150105,12:00,0.18,0,0,0,                    LST,0,                    LST,                    LST,0.01,0.03,0.06,0.32,0.18
20150105,13:00,0.21,0.04,0,0,                    LST,0,                    LST,                    LST,0.05,0.02,0.06,0.03,0.14
20150105,14:00,0.19,0.03,0,0,                    LST,0,                    LST,                    LST,0.02,0.03,0.06,0.2,0.15
20150105,15:00,0.12,0.09,0,0,                    LST,0,                    LST,                    LST,0.01,0.08,0.05,0.17,0.26
20150105,16:00,0.1,0,0.01,0,                    LST,0,                    LST,                    LST,0.02,0.04,0.03,0.17,0.19
20150105,17:00,0.14,0,0.03,0.03,                    LST,0,                    LST,                    LST,0.03,0.27,0.07,0.07,0.23
20150105,18:00,0.18,0.08,0.12,0.05,                   EXP_,0.01,                    LST,                    LST,0.19,0.2,0.7,0.09,0.45
20150105,19:00,0.25,0.08,0.15,0.13,                   EXP_,0.01,                    LST,                    LST,0.34,0.13,0.26,0.22,0.65
20150105,20:00,0.27,0.36,0.15,0.11,                    FEW,0,                    LST,                    LST,0.27,0.19,0.3,0.25,0.63
20150105,21:00,0.29,0.1,0.21,0.16,                    LST,0.01,                    LST,                    LST,0.14,0.14,0.27,0.31,0.61
20150105,22:00,0.12,0.06,0.21,0.11,                   EXP_,0.01,                    LST,                    LST,0.14,0.12,0.3,0.36,                     ST
20150105,23:00,0.18,0.04,0.18,0.14,                   EXP_,0.01,                    LST,                    LST,0.07,0.15,0.18,0.3,                     BL
20150106,0:00,0.05,                     ST,                     ST,                     ST,                   EXP_,                     ST,                    LST,                    LST,0.07,                     ST,0.13,0.25,0.24
20150106,1:00,0.06,                     BL,                     BL,                     BL,                   EXP_,                     BL,                    LST,                    LST,0.07,                     BL,0.08,0.17,0.22
20150106,2:00,                     ST,0.18,0.22,0.1,                    FEW,0.01,                    LST,                    LST,                     ST,0.11,0.07,                     ST,0.19
20150106,3:00,                     BL,0.03,0.18,0.06,                    FEW,0.01,                    LST,                    LST,                     BL,0.09,0.05,                     BL,0.12
20150106,4:00,0.17,0.29,0.2,0.08,                    LST,0,                    LST,                    LST,0.05,0.08,0.06,0.15,0.1
20150106,5:00,0.36,0.3,0.3,0.38,                   EXP_,0.05,                    LST,                    LST,0.08,0.11,0.06,0.16,0.35
20150106,6:00,0.49,0.38,0.3,0.61,                   EXP_,0.01,                    LST,                    LST,0.15,0.25,0.06,0.37,0.4
20150106,7:00,0.33,0.03,0.32,0.51,                   EXP_,0,                    LST,                    LST,0.19,0.31,0.12,                    AQI,0.61
20150106,8:00,0.54,0.29,0.26,0.2,                   EXP_,0,                    LST,                    LST,0.16,0.27,0.21,                    AQI,0.43
20150106,9:00,0.22,0.21,0.48,0.07,                    LST,0,                    LST,                    LST,0.11,0.09,0.07,                    AQI,0.2
20150106,10:00,0.19,0.15,1.21,0.07,                    LST,0,                    LST,                    LST,0.02,0.05,0.04,                    AQI,0.09
20150106,11:00,0.15,0.1,0.52,0.05,                    LST,0,                    LST,                    LST,0.03,0.02,0.05,                    AQI,0.06
20150106,12:00,0.12,0.18,0.16,0.05,                    LST,0,                    LST,                    LST,0.03,0.02,0.03,                     BL,0.06
20150106,13:00,0.13,0.09,0.15,0.03,                    LST,0,                    LST,                    LST,0.02,0,0.03,                     BL,0.05
20150106,14:00,0.17,0.09,0.14,0.03,                   EXP_,0,                    LST,                    LST,0.02,0.01,0.03,                    AQI,0.07
20150106,15:00,0.15,0.12,0.11,0.03,                   EXP_,0,                    LST,                    LST,0.02,0.01,0.04,                    AQI,0.06
20150106,16:00,0.17,0.05,0.07,0.03,                    FEW,0,                    LST,                    LST,0.04,0.02,0.35,                    AQI,0.08
20150106,17:00,0.99,0.05,0.1,0.05,                    LST,0,                    LST,                    LST,0.09,0.04,0.03,                    AQI,0.18
20150106,18:00,0.17,0.06,0.05,0.09,                    LST,0.02,                    LST,                    LST,0.09,0.03,1.79,                    AQI,0.07
20150106,19:00,0.23,0.04,0.05,0.07,                    LST,0.03,                    LST,                    LST,0.05,0.04,0.32,                    AQI,0.14
20150106,20:00,0.08,0.06,0.07,0.05,                    LST,0.02,                    LST,                    LST,0.37,0.07,0.13,                    AQI,                     ST
